
Odczyt danych o terrainie z pliku stozki_2.map

  size sektora = 480.000000
  czas odnowy przedmiotu = 120.000000
  if_toroidal_world = 0
  border_x = -1.000000
  border_z = -1.000000
  liczba sekt. = 936
    mapa w=0, k=0, l.oczek = 16
    mapa w=-17, k=36, l.oczek = 16
    mapa w=-12, k=39, l.oczek = 16
    mapa w=-14, k=39, l.oczek = 16
    mapa w=-32, k=25, l.oczek = 16
    mapa w=-9, k=34, l.oczek = 16
    mapa w=-10, k=22, l.oczek = 16
    mapa w=-17, k=19, l.oczek = 16
    mapa w=-12, k=22, l.oczek = 16
    mapa w=-38, k=17, l.oczek = 16
    mapa w=6, k=18, l.oczek = 16
    mapa w=-36, k=19, l.oczek = 16
    mapa w=7, k=12, l.oczek = 16
    mapa w=-23, k=16, l.oczek = 16
    mapa w=-36, k=17, l.oczek = 16
    mapa w=-17, k=40, l.oczek = 16
    mapa w=-25, k=24, l.oczek = 16
    mapa w=-33, k=28, l.oczek = 16
    mapa w=-12, k=35, l.oczek = 16
    mapa w=-39, k=12, l.oczek = 16
    mapa w=-38, k=21, l.oczek = 16
    mapa w=-22, k=18, l.oczek = 16
    mapa w=9, k=16, l.oczek = 16
    mapa w=-33, k=13, l.oczek = 16
    mapa w=-35, k=19, l.oczek = 16
    mapa w=-16, k=13, l.oczek = 16
    mapa w=-19, k=12, l.oczek = 16
    mapa w=-35, k=16, l.oczek = 16
    mapa w=-11, k=22, l.oczek = 16
    mapa w=-40, k=17, l.oczek = 16
    mapa w=-33, k=20, l.oczek = 16
    mapa w=-32, k=23, l.oczek = 16
    mapa w=5, k=9, l.oczek = 16
    mapa w=-22, k=12, l.oczek = 16
    mapa w=-12, k=32, l.oczek = 16
    mapa w=3, k=13, l.oczek = 16
    mapa w=-39, k=17, l.oczek = 16
    mapa w=-8, k=39, l.oczek = 16
    mapa w=-39, k=14, l.oczek = 16
    mapa w=-22, k=10, l.oczek = 16
    mapa w=-25, k=16, l.oczek = 16
    mapa w=-28, k=30, l.oczek = 16
    mapa w=-34, k=25, l.oczek = 16
    mapa w=-19, k=17, l.oczek = 16
    mapa w=-31, k=28, l.oczek = 16
    mapa w=-36, k=18, l.oczek = 16
    mapa w=-8, k=19, l.oczek = 16
    mapa w=-16, k=21, l.oczek = 16
    mapa w=-11, k=15, l.oczek = 16
    mapa w=-14, k=20, l.oczek = 16
    mapa w=-15, k=34, l.oczek = 16
    mapa w=-15, k=11, l.oczek = 16
    mapa w=-17, k=35, l.oczek = 16
    mapa w=-22, k=11, l.oczek = 16
    mapa w=-10, k=41, l.oczek = 16
    mapa w=-11, k=19, l.oczek = 16
    mapa w=-19, k=11, l.oczek = 16
    mapa w=4, k=11, l.oczek = 16
    mapa w=-19, k=8, l.oczek = 16
    mapa w=-6, k=34, l.oczek = 16
    mapa w=-34, k=15, l.oczek = 16
    mapa w=-34, k=19, l.oczek = 16
    mapa w=-20, k=14, l.oczek = 16
    mapa w=-25, k=22, l.oczek = 16
    mapa w=-18, k=20, l.oczek = 16
    mapa w=-9, k=19, l.oczek = 16
    mapa w=-10, k=19, l.oczek = 16
    mapa w=8, k=6, l.oczek = 16
    mapa w=6, k=8, l.oczek = 16
    mapa w=-6, k=39, l.oczek = 16
    mapa w=6, k=14, l.oczek = 16
    mapa w=7, k=7, l.oczek = 16
    mapa w=8, k=11, l.oczek = 16
    mapa w=-28, k=24, l.oczek = 16
    mapa w=-32, k=20, l.oczek = 16
    mapa w=-14, k=17, l.oczek = 16
    mapa w=-35, k=17, l.oczek = 16
    mapa w=-31, k=23, l.oczek = 16
    mapa w=-35, k=18, l.oczek = 16
    mapa w=-32, k=12, l.oczek = 16
    mapa w=-7, k=39, l.oczek = 16
    mapa w=-17, k=41, l.oczek = 16
    mapa w=-19, k=9, l.oczek = 16
    mapa w=-31, k=25, l.oczek = 16
    mapa w=-41, k=17, l.oczek = 16
    mapa w=-10, k=35, l.oczek = 16
    mapa w=-27, k=26, l.oczek = 16
    mapa w=-19, k=10, l.oczek = 16
    mapa w=-35, k=12, l.oczek = 16
    mapa w=-11, k=40, l.oczek = 16
    mapa w=-37, k=18, l.oczek = 16
    mapa w=-38, k=19, l.oczek = 16
    mapa w=-19, k=23, l.oczek = 16
    mapa w=-37, k=19, l.oczek = 16
    mapa w=-34, k=28, l.oczek = 16
    mapa w=-17, k=14, l.oczek = 16
    mapa w=-7, k=41, l.oczek = 16
    mapa w=-35, k=23, l.oczek = 16
    mapa w=-30, k=28, l.oczek = 16
    mapa w=-15, k=25, l.oczek = 16
    mapa w=-27, k=28, l.oczek = 16
    mapa w=-21, k=16, l.oczek = 16
    mapa w=-10, k=25, l.oczek = 16
    mapa w=-9, k=36, l.oczek = 16
    mapa w=-5, k=42, l.oczek = 16
    mapa w=-14, k=38, l.oczek = 16
    mapa w=-26, k=21, l.oczek = 16
    mapa w=-13, k=43, l.oczek = 16
    mapa w=-38, k=20, l.oczek = 16
    mapa w=-7, k=37, l.oczek = 16
    mapa w=3, k=14, l.oczek = 16
    mapa w=-13, k=36, l.oczek = 16
    mapa w=-39, k=21, l.oczek = 16
    mapa w=-39, k=18, l.oczek = 16
    mapa w=2, k=18, l.oczek = 16
    mapa w=-38, k=18, l.oczek = 16
    mapa w=-27, k=11, l.oczek = 16
    mapa w=-12, k=16, l.oczek = 16
    mapa w=-14, k=33, l.oczek = 16
    mapa w=-28, k=22, l.oczek = 16
    mapa w=-8, k=23, l.oczek = 16
    mapa w=-16, k=34, l.oczek = 16
    mapa w=-30, k=25, l.oczek = 16
    mapa w=-38, k=14, l.oczek = 16
    mapa w=-15, k=23, l.oczek = 16
    mapa w=-36, k=23, l.oczek = 16
    mapa w=-25, k=10, l.oczek = 16
    mapa w=-20, k=18, l.oczek = 16
    mapa w=-23, k=15, l.oczek = 16
    mapa w=-26, k=18, l.oczek = 16
    mapa w=-25, k=15, l.oczek = 16
    mapa w=-15, k=10, l.oczek = 16
    mapa w=-23, k=8, l.oczek = 16
    mapa w=-26, k=8, l.oczek = 16
    mapa w=4, k=19, l.oczek = 16
    mapa w=5, k=10, l.oczek = 16
    mapa w=11, k=18, l.oczek = 16
    mapa w=-16, k=12, l.oczek = 16
    mapa w=-9, k=41, l.oczek = 16
    mapa w=-17, k=34, l.oczek = 16
    mapa w=10, k=15, l.oczek = 16
    mapa w=4, k=12, l.oczek = 16
    mapa w=-8, k=41, l.oczek = 16
    mapa w=-23, k=19, l.oczek = 16
    mapa w=-27, k=20, l.oczek = 16
    mapa w=11, k=16, l.oczek = 16
    mapa w=-13, k=42, l.oczek = 16
    mapa w=-29, k=31, l.oczek = 16
    mapa w=-32, k=29, l.oczek = 16
    mapa w=-28, k=27, l.oczek = 16
    mapa w=-28, k=29, l.oczek = 16
    mapa w=-15, k=18, l.oczek = 16
    mapa w=-7, k=20, l.oczek = 16
    mapa w=-19, k=21, l.oczek = 16
    mapa w=-27, k=16, l.oczek = 16
    mapa w=-7, k=43, l.oczek = 16
    mapa w=-39, k=19, l.oczek = 16
    mapa w=-13, k=20, l.oczek = 16
    mapa w=-36, k=27, l.oczek = 16
    mapa w=-21, k=19, l.oczek = 16
    mapa w=-35, k=25, l.oczek = 16
    mapa w=-18, k=15, l.oczek = 16
    mapa w=-12, k=38, l.oczek = 16
    mapa w=-34, k=17, l.oczek = 16
    mapa w=-36, k=13, l.oczek = 16
    mapa w=-39, k=20, l.oczek = 16
    mapa w=2, k=19, l.oczek = 16
    mapa w=6, k=9, l.oczek = 16
    mapa w=-17, k=42, l.oczek = 16
    mapa w=-33, k=14, l.oczek = 16
    mapa w=-7, k=24, l.oczek = 16
    mapa w=-28, k=19, l.oczek = 16
    mapa w=-33, k=19, l.oczek = 16
    mapa w=-7, k=35, l.oczek = 16
    mapa w=-40, k=18, l.oczek = 16
    mapa w=-17, k=22, l.oczek = 16
    mapa w=-11, k=25, l.oczek = 16
    mapa w=-14, k=25, l.oczek = 16
    mapa w=7, k=13, l.oczek = 16
    mapa w=8, k=7, l.oczek = 16
    mapa w=-25, k=14, l.oczek = 16
    mapa w=-30, k=23, l.oczek = 16
    mapa w=-6, k=37, l.oczek = 16
    mapa w=-20, k=22, l.oczek = 16
    mapa w=-34, k=16, l.oczek = 16
    mapa w=-34, k=18, l.oczek = 16
    mapa w=-17, k=24, l.oczek = 16
    mapa w=-20, k=13, l.oczek = 16
    mapa w=-11, k=16, l.oczek = 16
    mapa w=-29, k=28, l.oczek = 16
    mapa w=-31, k=29, l.oczek = 16
    mapa w=-25, k=11, l.oczek = 16
    mapa w=-15, k=21, l.oczek = 16
    mapa w=-29, k=30, l.oczek = 16
    mapa w=11, k=14, l.oczek = 16
    mapa w=-35, k=28, l.oczek = 16
    mapa w=-13, k=32, l.oczek = 16
    mapa w=-25, k=19, l.oczek = 16
    mapa w=-24, k=17, l.oczek = 16
    mapa w=-15, k=33, l.oczek = 16
    mapa w=-9, k=23, l.oczek = 16
    mapa w=-22, k=17, l.oczek = 16
    mapa w=6, k=19, l.oczek = 16
    mapa w=-11, k=36, l.oczek = 16
    mapa w=-14, k=23, l.oczek = 16
    mapa w=12, k=15, l.oczek = 16
    mapa w=-13, k=17, l.oczek = 16
    mapa w=-14, k=37, l.oczek = 16
    mapa w=-12, k=25, l.oczek = 16
    mapa w=5, k=17, l.oczek = 16
    mapa w=-27, k=15, l.oczek = 16
    mapa w=-16, k=19, l.oczek = 16
    mapa w=-27, k=12, l.oczek = 16
    mapa w=-16, k=11, l.oczek = 16
    mapa w=-13, k=25, l.oczek = 16
    mapa w=-5, k=37, l.oczek = 16
    mapa w=-9, k=38, l.oczek = 16
    mapa w=-12, k=20, l.oczek = 16
    mapa w=-33, k=29, l.oczek = 16
    mapa w=-5, k=34, l.oczek = 16
    mapa w=5, k=11, l.oczek = 16
    mapa w=-21, k=15, l.oczek = 16
    mapa w=-23, k=9, l.oczek = 16
    mapa w=-13, k=41, l.oczek = 16
    mapa w=-33, k=18, l.oczek = 16
    mapa w=-38, k=12, l.oczek = 16
    mapa w=-8, k=20, l.oczek = 16
    mapa w=4, k=13, l.oczek = 16
    mapa w=-27, k=13, l.oczek = 16
    mapa w=-20, k=24, l.oczek = 16
    mapa w=6, k=15, l.oczek = 16
    mapa w=-22, k=20, l.oczek = 16
    mapa w=-17, k=13, l.oczek = 16
    mapa w=-32, k=19, l.oczek = 16
    mapa w=-25, k=12, l.oczek = 16
    mapa w=12, k=17, l.oczek = 16
    mapa w=-32, k=30, l.oczek = 16
    mapa w=-25, k=13, l.oczek = 16
    mapa w=-32, k=13, l.oczek = 16
    mapa w=8, k=12, l.oczek = 16
    mapa w=-24, k=20, l.oczek = 16
    mapa w=-30, k=29, l.oczek = 16
    mapa w=-30, k=31, l.oczek = 16
    mapa w=-16, k=33, l.oczek = 16
    mapa w=-29, k=25, l.oczek = 16
    mapa w=-12, k=34, l.oczek = 16
    mapa w=-10, k=16, l.oczek = 16
    mapa w=-23, k=14, l.oczek = 16
    mapa w=-15, k=41, l.oczek = 16
    mapa w=-15, k=40, l.oczek = 16
    mapa w=-17, k=43, l.oczek = 16
    mapa w=-19, k=16, l.oczek = 16
    mapa w=-40, k=21, l.oczek = 16
    mapa w=-20, k=8, l.oczek = 16
    mapa w=-40, k=19, l.oczek = 16
    mapa w=-20, k=12, l.oczek = 16
    mapa w=-21, k=23, l.oczek = 16
    mapa w=-6, k=32, l.oczek = 16
    mapa w=-27, k=14, l.oczek = 16
    mapa w=-5, k=40, l.oczek = 16
    mapa w=-17, k=33, l.oczek = 16
    mapa w=-33, k=15, l.oczek = 16
    mapa w=-36, k=25, l.oczek = 16
    mapa w=-33, k=16, l.oczek = 16
    mapa w=-10, k=37, l.oczek = 16
    mapa w=-33, k=17, l.oczek = 16
    mapa w=-41, k=13, l.oczek = 16
    mapa w=-11, k=33, l.oczek = 16
    mapa w=-27, k=24, l.oczek = 16
    mapa w=-12, k=43, l.oczek = 16
    mapa w=-11, k=20, l.oczek = 16
    mapa w=-37, k=14, l.oczek = 16
    mapa w=-16, k=10, l.oczek = 16
    mapa w=-10, k=40, l.oczek = 16
    mapa w=-9, k=20, l.oczek = 16
    mapa w=-34, k=22, l.oczek = 16
    mapa w=-15, k=42, l.oczek = 16
    mapa w=-41, k=18, l.oczek = 16
    mapa w=-33, k=30, l.oczek = 16
    mapa w=-10, k=20, l.oczek = 16
    mapa w=-13, k=23, l.oczek = 16
    mapa w=-7, k=33, l.oczek = 16
    mapa w=-26, k=17, l.oczek = 16
    mapa w=6, k=10, l.oczek = 16
    mapa w=-23, k=21, l.oczek = 16
    mapa w=-10, k=23, l.oczek = 16
    mapa w=-14, k=18, l.oczek = 16
    mapa w=-40, k=15, l.oczek = 16
    mapa w=-13, k=35, l.oczek = 16
    mapa w=-26, k=9, l.oczek = 16
    mapa w=-11, k=39, l.oczek = 16
    mapa w=-9, k=16, l.oczek = 16
    mapa w=-7, k=16, l.oczek = 16
    mapa w=9, k=17, l.oczek = 16
    mapa w=-27, k=22, l.oczek = 16
    mapa w=-13, k=40, l.oczek = 16
    mapa w=-35, k=13, l.oczek = 16
    mapa w=-23, k=13, l.oczek = 16
    mapa w=-31, k=30, l.oczek = 16
    mapa w=-23, k=10, l.oczek = 16
    mapa w=-34, k=29, l.oczek = 16
    mapa w=-12, k=17, l.oczek = 16
    mapa w=-32, k=31, l.oczek = 16
    mapa w=-20, k=10, l.oczek = 16
    mapa w=-8, k=43, l.oczek = 16
    mapa w=-32, k=26, l.oczek = 16
    mapa w=-10, k=32, l.oczek = 16
Znaleziono w pliku stozki_2.map przedmioty w liczbie 968
  przedm.0, type = 1, value = 10.000000
wstawiam przedmiot 80715824: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.1, type = 1, value = 10.000000
wstawiam przedmiot 80715920: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.2, type = 1, value = 10.000000
wstawiam przedmiot 80716016: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.3, type = 1, value = 10.000000
wstawiam przedmiot 80716112: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.4, type = 1, value = 10.000000
wstawiam przedmiot 80716208: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.5, type = 1, value = 10.000000
wstawiam przedmiot 80716304: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.6, type = 1, value = 10.000000
wstawiam przedmiot 80716400: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.7, type = 1, value = 10.000000
wstawiam przedmiot 80716496: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.8, type = 0, value = 100.000000
wstawiam przedmiot 80716592: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 0
  przedm.9, type = 0, value = 100.000000
wstawiam przedmiot 80716688: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 0
  przedm.10, type = 0, value = 100.000000
wstawiam przedmiot 80716784: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 0
  przedm.11, type = 0, value = 100.000000
wstawiam przedmiot 80716880: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 0
  przedm.12, type = 2, value = 20.000000
wstawiam przedmiot 80716976: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.13, type = 2, value = 20.000000
wstawiam przedmiot 80717072: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.14, type = 2, value = 20.000000
wstawiam przedmiot 80717168: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.15, type = 2, value = 20.000000
wstawiam przedmiot 80717264: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.16, type = 2, value = 20.000000
wstawiam przedmiot 80717360: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.17, type = 2, value = 20.000000
wstawiam przedmiot 80717456: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.18, type = 2, value = 20.000000
wstawiam przedmiot 80717552: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.19, type = 2, value = 20.000000
wstawiam przedmiot 80717648: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 1
  przedm.20, type = 2, value = 20.000000
wstawiam przedmiot 80717744: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 1
  przedm.21, type = 2, value = 20.000000
wstawiam przedmiot 80717840: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 1
  przedm.22, type = 2, value = 20.000000
wstawiam przedmiot 80717936: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 1
  przedm.23, type = 2, value = 20.000000
wstawiam przedmiot 80718032: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 1
  przedm.24, type = 2, value = 20.000000
wstawiam przedmiot 80718128: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 1
  przedm.25, type = 2, value = 20.000000
wstawiam przedmiot 80718224: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 1
  przedm.26, type = 2, value = 20.000000
wstawiam przedmiot 80718320: drzewo o wartosci 20.000000 i srednicy 2.000000 w sektor w = 0, k = 0
  przedm.27, type = 2, value = 20.000000
wstawiam przedmiot 80718416: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.28, type = 2, value = 20.000000
wstawiam przedmiot 80718512: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.29, type = 2, value = 20.000000
wstawiam przedmiot 80718608: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.30, type = 2, value = 20.000000
wstawiam przedmiot 80718704: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.31, type = 2, value = 20.000000
wstawiam przedmiot 80718800: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.32, type = 2, value = 20.000000
wstawiam przedmiot 80718896: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
wstawiam przedmiot 80718896: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.33, type = 2, value = 20.000000
wstawiam przedmiot 80718992: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.34, type = 2, value = 20.000000
wstawiam przedmiot 80719088: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.35, type = 2, value = 20.000000
wstawiam przedmiot 80719184: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.36, type = 2, value = 20.000000
wstawiam przedmiot 80719280: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.37, type = 2, value = 20.000000
wstawiam przedmiot 80719376: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.38, type = 2, value = 20.000000
wstawiam przedmiot 80719472: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.39, type = 2, value = 20.000000
wstawiam przedmiot 80719568: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.40, type = 2, value = 20.000000
wstawiam przedmiot 80719664: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.41, type = 2, value = 20.000000
wstawiam przedmiot 80719760: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.42, type = 2, value = 20.000000
wstawiam przedmiot 80719856: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.43, type = 2, value = 20.000000
wstawiam przedmiot 80719952: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 0
  przedm.44, type = 2, value = 20.000000
wstawiam przedmiot 80720048: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.45, type = 2, value = 20.000000
wstawiam przedmiot 80720144: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.46, type = 2, value = 20.000000
wstawiam przedmiot 80720240: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.47, type = 2, value = 20.000000
wstawiam przedmiot 80720336: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.48, type = 2, value = 20.000000
wstawiam przedmiot 80720432: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.49, type = 2, value = 20.000000
wstawiam przedmiot 80720528: drzewo o wartosci 20.000000 i srednicy 1.150000 w sektor w = 0, k = 1
  przedm.50, type = 0, value = 100.000000
wstawiam przedmiot 80720624: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 1
  przedm.51, type = 0, value = 100.000000
wstawiam przedmiot 80720720: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 1
  przedm.52, type = 0, value = 100.000000
wstawiam przedmiot 80720816: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 1
  przedm.53, type = 0, value = 100.000000
wstawiam przedmiot 80720912: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 1
  przedm.54, type = 0, value = 200.000000
wstawiam przedmiot 80721008: moneta o wartosci 200.000000 i srednicy 1.319508 w sektor w = 0, k = 1
  przedm.55, type = 0, value = 200.000000
wstawiam przedmiot 80721104: moneta o wartosci 200.000000 i srednicy 1.319508 w sektor w = 0, k = 1
  przedm.56, type = 0, value = 200.000000
wstawiam przedmiot 80721200: moneta o wartosci 200.000000 i srednicy 1.319508 w sektor w = 0, k = 1
  przedm.57, type = 0, value = 200.000000
wstawiam przedmiot 80721296: moneta o wartosci 200.000000 i srednicy 1.319508 w sektor w = 0, k = 1
  przedm.58, type = 0, value = 200.000000
wstawiam przedmiot 80721392: moneta o wartosci 200.000000 i srednicy 1.319508 w sektor w = 0, k = 1
  przedm.59, type = 0, value = 100.000000
wstawiam przedmiot 80721488: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 0, k = 1
  przedm.60, type = 1, value = 10.000000
wstawiam przedmiot 80721584: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.61, type = 1, value = 10.000000
wstawiam przedmiot 80721680: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.62, type = 1, value = 10.000000
wstawiam przedmiot 80721776: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.63, type = 1, value = 10.000000
wstawiam przedmiot 80721872: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.64, type = 1, value = 10.000000
wstawiam przedmiot 80721968: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -1
  przedm.65, type = 1, value = 10.000000
wstawiam przedmiot 80722064: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -1
  przedm.66, type = 1, value = 10.000000
wstawiam przedmiot 80722160: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -1
  przedm.67, type = 1, value = 10.000000
wstawiam przedmiot 80722256: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 1, k = -1
  przedm.68, type = 1, value = 10.000000
wstawiam przedmiot 80722352: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -1
  przedm.69, type = 1, value = 10.000000
wstawiam przedmiot 80722448: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -1
  przedm.70, type = 1, value = 10.000000
wstawiam przedmiot 80722544: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -1
  przedm.71, type = 1, value = 10.000000
wstawiam przedmiot 80722640: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -1
  przedm.72, type = 1, value = 10.000000
wstawiam przedmiot 80722736: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.73, type = 1, value = 10.000000
wstawiam przedmiot 80722832: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.74, type = 1, value = 10.000000
wstawiam przedmiot 80722928: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.75, type = 1, value = 10.000000
wstawiam przedmiot 80723024: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.76, type = 1, value = 10.000000
wstawiam przedmiot 80723120: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.77, type = 1, value = 10.000000
wstawiam przedmiot 80723216: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.78, type = 1, value = 10.000000
wstawiam przedmiot 80723312: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.79, type = 1, value = 10.000000
wstawiam przedmiot 80723408: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.80, type = 1, value = 10.000000
wstawiam przedmiot 80723504: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.81, type = 1, value = 10.000000
wstawiam przedmiot 80723600: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.82, type = 1, value = 10.000000
wstawiam przedmiot 80723696: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.83, type = 1, value = 10.000000
wstawiam przedmiot 80723792: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.84, type = 1, value = 10.000000
wstawiam przedmiot 80723888: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 2
  przedm.85, type = 1, value = 10.000000
wstawiam przedmiot 80723984: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.86, type = 1, value = 10.000000
wstawiam przedmiot 80724080: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.87, type = 1, value = 10.000000
wstawiam przedmiot 80724176: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 3, k = 1
  przedm.88, type = 1, value = 10.000000
wstawiam przedmiot 80724272: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 8, k = 3
wstawiam przedmiot 80724272: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 8, k = 4
  przedm.89, type = 1, value = 10.000000
wstawiam przedmiot 80724368: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 8, k = 3
  przedm.90, type = 1, value = 10.000000
wstawiam przedmiot 80724464: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 8, k = 3
  przedm.91, type = 1, value = 10.000000
wstawiam przedmiot 80724560: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 8, k = 4
  przedm.92, type = 1, value = 10.000000
wstawiam przedmiot 80724656: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 8, k = 4
  przedm.93, type = 1, value = 10.000000
wstawiam przedmiot 80724752: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 8, k = 4
  przedm.94, type = 1, value = 10.000000
